Cost,Mwatts,Date,cpm,,
345.39,514,67.92,0.671964981,,
460.05,687,68.58,0.669650655,,
452.99,1065,67.33,0.425342723,,
443.22,1065,67.33,0.416169014,,
652.32,1065,68,0.612507042,,
642.23,1065,68,0.603032864,,
272.37,822,68.17,0.331350365,,
317.21,457,68.42,0.694113786,,
457.12,822,68.42,0.556107056,,
690.19,792,68.33,0.87145202,,
350.63,560,68.58,0.626125,,
402.59,790,68.75,0.509607595,,
412.18,530,68.42,0.777698113,,
495.58,1050,68.92,0.471980952,,
394.36,850,68.92,0.463952941,,
423.32,778,68.42,0.544113111,,
712.27,845,69.5,0.842923077,,
289.66,530,68.42,0.546528302,,
881.24,1090,69.17,0.808477064,,
490.88,1050,68.92,0.467504762,,
567.79,913,68.75,0.621894852,,
665.99,828,70.92,0.804335749,,
621.45,786,69.67,0.790648855,,
608.8,821,70.08,0.741534714,,
473.64,538,70.42,0.880371747,,
697.14,1130,71.08,0.616938053,,0.56973544
207.51,745,67.25,0.278536913,,0.57956996
288.48,821,67.17,0.35137637,,
284.88,886,67.83,0.321534989,,
280.36,886,67.83,0.316433409,,
217.38,745,67.25,0.291785235,,
270.71,886,67.83,0.305541761,,
